analysis_id,xit0x39297c53c3
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
gene_symbol,Pum1
gene_accession_id,MGI:1931749
pvalue,1.038611e-05
