analysis_id,83t1g69v7g117n9
gene_accession_id,MGI:1924054
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
pvalue,0.8496507
mouse_life_stage,Early adult
gene_symbol,Kdm4c
parameter_name,Glucose
