parameter_name,Tibia
mouse_strain,C51BL
parameter_id,IMPC_XRY_025_001
gene_symbol,Secisbp2l
analysis_id,b70784n2cgd27u0
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
pvalue,0.6297102
