analysis_id,25e06o58id76eiw
gene_accession_id,MGI:1915524
pvalue,0.2941954
gene_symbol,Toporsl
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
