gene_symbol,Rab22a
parameter_name,Glucose
pvalue,0.05938958
mouse_strain,C57BL
gene_accession_id,MGI:105072
analysis_id,92nqsk117u1ozu6
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
