parameter_id,MGP_PBI_033_001
analysis_id,xr87adb44n6556n
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.233242
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
