analysis_id,08676w0o5cq5xde
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
pvalue,0.5690666
