gene_symbol,Gja10
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:1339969
pvalue,0.7061601
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ni6j008fuqn4f84
