gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
analysis_id,c4v95181e14x6sq
parameter_id,MGP_BMI_006_001
pvalue,0.8190882
