parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
analysis_id,7cy74506900ht27
mouse_life_stage,Early adult
pvalue,0.9074624
mouse_strain,C57BL
gene_accession_id,MGI:97054
gene_symbol,Mov10
