analysis_id,i3t5h6h7f2j024c
parameter_id,IMPC_CSD_008_001
gene_symbol,Secisbp2l
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
pvalue,0.5002669
