mouse_life_stage,Late adult
pvalue,0.07054708
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,8w2tt8jypthxqix
gene_accession_id,MGI:1336200
parameter_id,MGP_MLN_006_001
