parameter_name,Embryo turning
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
gene_symbol,Sfpq
pvalue,0.05858672
analysis_id,o70i781jd8thfeg
mouse_life_stage,Early adult
