analysis_id,5y0676tl516ek4f
parameter_name,Neutrophils
pvalue,0.6039043
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
gene_symbol,Rab3gap2
