analysis_id,7d9127pa703k1nc
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
pvalue,0.6235742
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
