analysis_id,wnh669457px4zh6
gene_accession_id,MGI:106100
mouse_strain,C57BL
parameter_name,Center permanence time
mouse_life_stage,Early adult
pvalue,0.2285068
gene_symbol,Etfdh
parameter_id,IMPC_OFD_016_001
