gene_symbol,Etfdh
pvalue,0.4177566
mouse_strain,C57BL
parameter_id,MGP_CSD_066_001
analysis_id,a48n9yb8t4u122y
gene_accession_id,MGI:106100
parameter_name,Snout morphology
mouse_life_stage,Early adult
