analysis_id,hf5k0qs4ucvon70
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.05640489
mouse_life_stage,E9.5
parameter_name,Facial Morphology
gene_accession_id,MGI:1915087
parameter_id,IMPC_GEP_017_001
