analysis_id,b3wgf8y60vv4b2m
parameter_id,MGP_PBI_033_001
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
gene_accession_id,MGI:1919949
pvalue,0.4296727
gene_symbol,Lime1
mouse_life_stage,Early adult
