analysis_id,b5n6wgdx4u12ci9
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
pvalue,0.2108304
parameter_id,IMPC_ABR_008_001
mouse_life_stage,E18.5
mouse_strain,C57BL
