analysis_id,un94406b57rp0qa
parameter_name,Center permanence time
gene_accession_id,MGI:87968
parameter_id,JAX_OFD_016_001
gene_symbol,Ahcy
mouse_strain,C57BL
pvalue,0.9986881
mouse_life_stage,E9.5
