gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1923959
pvalue,0.7615142
analysis_id,xwc193h6yc6a328
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
