analysis_id,gv8qk338f65258u
pvalue,0.3181134
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
