parameter_name,Cholesterol ratio
pvalue,0.9216568
gene_accession_id,MGI:1914556
analysis_id,o837b24ttxw742a
gene_symbol,Zc2hc1a
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
