analysis_id,5ly6x7p251240x9
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_id,ESLIM_011_001_009
parameter_name,PP3 + pulse startle magnitude
pvalue,0.4396997
mouse_life_stage,Early adult
gene_symbol,Eprs1
