parameter_name,Edema
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
analysis_id,603kd97gd8hzpmt
pvalue,0.4473415
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
gene_symbol,Dmap1
