parameter_name,Monocytes
gene_symbol,Pglyrp3
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,594h00v861gpz29
pvalue,0.760523
gene_accession_id,MGI:2685266
