analysis_id,g60j6555ci176ps
mouse_strain,C57BL
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.980773
