gene_symbol,Dmap1
pvalue,0.8081021
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
analysis_id,0lev910vy486h27
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
parameter_name,Total cholesterol
