gene_symbol,C8b
parameter_name,Total ab T cells - % of CD45+
pvalue,0.4422963
mouse_strain,C57BL
analysis_id,08i3p603c2odsc0
mouse_life_stage,Early adult
gene_accession_id,MGI:88236
parameter_id,MGP_MLN_063_001
