gene_symbol,Eprs1
parameter_id,MGP_PBI_030_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
analysis_id,t61x6jsjy761z65
pvalue,0.3406956
