analysis_id,38ds8w530u2s850
gene_symbol,Atg4c
parameter_name,BMC/Body weight
pvalue,0.7440532
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
