analysis_id,b60m83477b7j758
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
pvalue,0.5458991
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
gene_symbol,Cntfr
parameter_name,Edema
