parameter_name,Lumbar processes
mouse_strain,C57BL
gene_symbol,Dnajc8
pvalue,0.8319083
analysis_id,767987tm86zpz8k
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1915848
