gene_symbol,Cds2
Parameter_name,KLRG1+ NK cells - % of NK cells
Mouse_life_stage,Early adult
Mouse_strain,C57BL
Pvalue,0.2365721
analysis_id,44xv3e3tibh6q58
Gene_accession_id,MGI:1332236
parameter_id,MGP_IMM_036_001
