gene_symbol,Dhdds
parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
analysis_id,ns9w9526e4bri2z
pvalue,0.7982276
mouse_strain,C57BL
gene_accession_id,MGI:1914672
