mouse_life_stage,Middle aged adult
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Slc30a4
pvalue,0.7515744
mouse_strain,C57BL
analysis_id,v51ls5x8yd8s6w2
gene_accession_id,MGI:1345282
parameter_id,IMPC_CBC_024_001
