analysis_id,4286m1t3413oxz6
mouse_strain,C57BL
gene_symbol,Nanp
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,Skull shape
pvalue,0.7214674
