gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,8r94uj015ks854n
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
pvalue,0.9244049
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_002
