gene_symbol,Stk35
parameter_id,IMPC_GEL_029_001
analysis_id,m32z8mc10733j35
parameter_name,Midbrain
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,0.6969286
mouse_life_stage,Early adult
