gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1341628
mouse_strain,C57BL
analysis_id,95orto95j624p8z
pvalue,0.4499913
parameter_id,MGP_IMM_027_001
