analysis_id,y2v7e3fsk58ui04
gene_accession_id,MGI:3616086
parameter_id,IMPC_EYE_056_001
pvalue,0.8391522
mouse_life_stage,Early adult
parameter_name,Mean left eye lens density
gene_symbol,Kcng1
mouse_strain,C57BL
