parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1916363
analysis_id,7910628799f2171
pvalue,0.5346476
gene_symbol,Alkbh3
