analysis_id,itsli16euwg00qq
parameter_name,ST
gene_symbol,Rab17
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
gene_accession_id,MGI:104640
pvalue,0.9220919
