parameter_name,Startle response
analysis_id,zj33k28mxfl6g00
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.7483162
mouse_strain,C57BL
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
