gene_symbol,Ntmt2
mouse_strain,C57BL
gene_accession_id,MGI:2685053
pvalue,0.8402526
parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
analysis_id,5t0x0wj1ct54o76
