parameter_id,MGP_PBI_032_001
analysis_id,lmc1t34622n6sbl
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_symbol,Steap3
mouse_life_stage,Early adult
pvalue,0.1845765
