gene_symbol,Tatdn3
analysis_id,746zkzx5d964268
mouse_strain,C57BL
pvalue,0.4104423
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
