analysis_id,zg76e3pqo8vrv2n
parameter_name,Shape of ribcage
mouse_strain,C57BL
gene_symbol,Tnni1
gene_accession_id,MGI:105073
pvalue,0.4088368
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
