analysis_id,k5di5w460076ies
pvalue,0.2219195
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_id,IMPC_HEM_029_001
parameter_name,Neutrophil differential count
gene_accession_id,MGI:891989
mouse_strain,C57BL
