analysis_id,3u3s99kv5r9x975
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
pvalue,0.4393788
