analysis_id,86b1pz676350r70
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
gene_accession_id,MGI:107566
gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.1183731
parameter_name,Total ab T cells - % of CD45+
