analysis_id,13q536f1ys5s486
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
pvalue,0.3071618
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
parameter_name,Hindlimbs - shape
