analysis_id,26wwyo3d9f80y14
parameter_name,Basophil differential count
mouse_strain,C57BL
pvalue,0.3481616
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
