analysis_id,i05mez9q0l9n8k9
mouse_strain,C57BL
pvalue,0.9725311
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
gene_accession_id,MGI:1922082
