gene_symbol,Lime1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
analysis_id,bwdpvy3g476643q
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
parameter_id,MGP_PBI_010_001
pvalue,0.6775514
mouse_strain,C57BL
