gene_symbol,Ssr2
analysis_id,6od41115b7k1fm7
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1913506
mouse_strain,C57BL
pvalue,0.5158324
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
