parameter_name,Tibia length
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.1300849
gene_symbol,Hspa5
analysis_id,e21038z0bei8230
parameter_id,IMPC_XRY_033_001
