parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
pvalue,0.8451627
gene_symbol,Mgst2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,slnik243t6o7kec
gene_accession_id,MGI:2448481
