parameter_id,IMPC_HWT_008_001
analysis_id,390tw9ydjj5oov0
mouse_life_stage,Middle aged adult
pvalue,0.2763211
gene_symbol,Hpca
parameter_name,Heart weight
mouse_strain,C57BL
gene_accession_id,MGI:1336200
