analysis_id,gwkx9i307s8p7dj
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
pvalue,0.6762951
parameter_name,Neural tube closure
gene_symbol,Slc28a2
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
