parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
gene_symbol,Slc30a4
pvalue,0.5596804
gene_accession_id,MGI:1345282
analysis_id,5d4f78w0nd02p3j
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
