parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
analysis_id,8is482e33l4551n
gene_accession_id,MGI:1913396
pvalue,0.595033
mouse_life_stage,Early adult
gene_symbol,Maco1
mouse_strain,C57BL
