parameter_name,BMC/Body weight
gene_accession_id,MGI:99501
analysis_id,alkq088z5q4rle9
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
pvalue,0.05370052
gene_symbol,Fgb
mouse_strain,C57BL
